id,region,price,year,manufacturer,model,condition,cylinders,fuel,odometer,title_status,transmission,VIN,drive,size,type,paint_color,state
7308056031,eugene,3736928711,2007.0,toyota,tundra,excellent,8 cylinders,gas,164000.0,clean,automatic,,4wd,full-size,pickup,silver,or
7316254013,portland,239900,2018.0,porsche,911 gt3 touring,,,other,4224.0,clean,manual,WP0AC2A96JS176044,rwd,,other,silver,or
7314563134,altoona-johnstown,3226714,2002.0,,any and all,fair,8 cylinders,diesel,1234.0,clean,manual,,4wd,mid-size,sedan,blue,pa
7303420900,altoona-johnstown,400123,2003.0,,any and all,fair,5 cylinders,diesel,123321.0,clean,automatic,,4wd,full-size,pickup,blue,pa
7316943294,pittsburgh,225000,2018.0,,peterbilt 389,,,diesel,135000.0,clean,manual,,,,,,pa
7310182578,chattanooga,299500,2018.0,,Lamborghini Aventador,,12 cylinders,gas,3171.0,salvage,automatic,ZHWUV4ZD4JLA07642,4wd,sub-compact,coupe,blue,tn
7310174586,clarksville,229500,2018.0,ferrari,488 spider,,8 cylinders,gas,7910.0,salvage,automatic,ZFF80AMA9J0233387,rwd,sub-compact,convertible,red,tn
7315944204,jackson,11111111,1966.0,chevrolet,c10,,,gas,111111.0,clean,automatic,,,,,,tn
7302445002,knoxville,3736928711,1999.0,toyota,4runner,fair,6 cylinders,gas,211000.0,clean,automatic,,4wd,mid-size,,green,tn
7315942075,memphis,1111111,1966.0,chevrolet,c10,,,gas,111111.0,clean,manual,,,,,,tn
7317052348,nashville,123456789,2021.0,,Rare Car,good,8 cylinders,gas,0.0,clean,other,,rwd,,,,tn
7315774520,nashville,184950,2019.0,,MCLAREN 570S,,,gas,9715.0,clean,,SBM13DAA8KW007084,,,coupe,silver,tn
7312429759,nashville,449500,2019.0,ferrari,488 gtb,,,gas,500.0,clean,,ZFF79ALA7K0248037,,,coupe,red,tn
7304059291,abilene,1234567,1955.0,chevrolet,,,,other,99999.0,missing,other,,,,,,tx
7303378226,abilene,1234567,1955.0,chevrolet,,,,other,99999.0,missing,other,,,,,,tx
7301838920,abilene,1234567,1955.0,chevrolet,,,,other,99999.0,missing,other,,,,,,tx
7304059523,college station,1234567,1955.0,chevrolet,,,,other,99999.0,missing,other,,,,,,tx
7303377558,college station,1234567,1955.0,chevrolet,,,,other,99999.0,missing,other,,,,,,tx
7301841237,college station,1234567,1955.0,chevrolet,,,,other,99999.0,missing,other,,,,,,tx
7315062782,dallas / fort worth,299991,2017.0,,Lamborghini Huracan,,10 cylinders,gas,13004.0,clean,automatic,ZHWUC2ZF4HLA06366,rwd,,coupe,blue,tx
7303163871,el paso,290000,2012.0,chrysler,town & country limited,like new,,gas,24000.0,clean,automatic,,,full-size,van,white,tx
7315051233,houston,299991,2017.0,,Lamborghini Huracan,,10 cylinders,gas,13004.0,clean,automatic,ZHWUC2ZF4HLA06366,rwd,,coupe,blue,tx
7304058775,killeen / temple / ft hood,1234567,1955.0,chevrolet,,,,other,99999.0,missing,other,,,,,,tx
7303379556,killeen / temple / ft hood,1234567,1955.0,chevrolet,,,,other,99999.0,missing,other,,,,,,tx
7301832876,killeen / temple / ft hood,1234567,1955.0,chevrolet,,,,other,99999.0,missing,other,,,,,,tx
7305725228,mcallen / edinburg,25003000,1991.0,chevrolet,camaro,fair,6 cylinders,gas,200000.0,clean,automatic,,,,,,tx
7315061033,odessa / midland,244999,2019.0,porsche,panamera turbo st,,,gas,3322.0,clean,,WP0AF2A97KS165210,,full-size,other,green,tx
7311602125,odessa / midland,200000,2015.0,,kenworth t800,good,,diesel,44126.0,clean,manual,1NKDX4EX3FJ454982,,,truck,,tx
7315060933,tyler / east TX,244999,2019.0,porsche,panamera turbo st,,,gas,3322.0,clean,,WP0AF2A97KS165210,,full-size,other,green,tx
7304058513,waco,1234567,1955.0,chevrolet,,good,,other,99999.0,missing,other,,,,,,tx
7303381671,waco,1234567,1955.0,chevrolet,,good,,other,99999.0,missing,other,,,,,,tx
7316661407,norfolk / hampton roads,200000,2001.0,,Intertational,excellent,,diesel,1000.0,clean,automatic,,,,,,va
7305113434,norfolk / hampton roads,200000,2001.0,,Intertational,excellent,,diesel,1000.0,clean,automatic,,,,,,va
7313998757,winchester,304995,2021.0,porsche,911,,,gas,22.0,clean,automatic,WP0CD2A97MS263705,,,convertible,white,va
7316352222,seattle-tacoma,225000,1969.0,ford,mustang,excellent,8 cylinders,gas,33000.0,clean,manual,9F02Z164706,fwd,,,white,wa
7316325002,seattle-tacoma,239900,2018.0,porsche,911 gt3 touring,,,other,4224.0,clean,manual,WP0AC2A96JS176044,rwd,,other,silver,wa
7316245527,seattle-tacoma,185886,2011.0,ferrari,458 italia,excellent,8 cylinders,gas,9964.0,clean,automatic,,rwd,,,white,wa
7313852214,wenatchee,225000,1969.0,ford,mustang,excellent,8 cylinders,gas,33000.0,clean,manual,9F02Z164706,fwd,,,white,wa
7306494891,appleton-oshkosh-FDL,229500,2019.0,,Lamborghini Urus,,8 cylinders,gas,32922.0,clean,automatic,ZPBUA1ZL1KLA02237,4wd,compact,SUV,white,wi
7317067334,eau claire,999999,2006.0,ford,f-350,,8 cylinders,diesel,204123.0,clean,automatic,,,,,,wi
7310185437,milwaukee,299500,2018.0,,Lamborghini Aventador,,12 cylinders,gas,3171.0,salvage,automatic,ZHWUV4ZD4JLA07642,4wd,sub-compact,coupe,blue,wi
